headline,brand_extracted,farbe_filled,storage_gb
"Samsung Galaxy S 3 Mini i8190 im Tarif Congstar Allnet Flat S, Blau",Samsung,Blau,8.0
USB-Maus Hama Cino Blau,USB-Maus,Blau,
Hama Lasermaus Mirano,Hama,Weiß,
"Western Digital 4TB SATA 3,5"" WD40EFRX WD Red™ Serie",Western,Rot,4096.0
Alcatel One Touch Pop C5 5036D Smartphone,Alcatel,,4.0
Alcatel One Touch Pop C5 5036D Smartphone,Alcatel,,4.0
Alcatel One Touch Idol 2 Mini S 6036Y,Alcatel,,8.0
Alcatel One Touch Idol 2 Mini S 6036Y,Alcatel,,8.0
"chiliGreen externe Festplatte 2,5"" 500 GB",chiliGreen,Pink,500.0
"chiliGreen externe Festplatte 2,5"" 500 GB",chiliGreen,Rot,500.0
"chiliGreen externe Festplatte 2,5"" 500 GB",chiliGreen,Blau,500.0
"chiliGreen externe Festplatte 2,5"" 500 GB",chiliGreen,Grün,500.0
"chiliGreen externe Festplatte 2,5"" 500 GB",chiliGreen,,500.0
"chiliGreen externe Festplatte 2,5"" 500 GB",chiliGreen,Grau,500.0
"chiliGreen externe Festplatte 2,5"" 1 TB",chiliGreen,Pink,1024.0
"chiliGreen externe Festplatte 2,5"" 1 TB",chiliGreen,Rot,1024.0
"chiliGreen externe Festplatte 2,5"" 1 TB",chiliGreen,Blau,1024.0
"chiliGreen externe Festplatte 2,5"" 1 TB",chiliGreen,Grün,1024.0
"chiliGreen externe Festplatte 2,5"" 1 TB",chiliGreen,,1024.0
"chiliGreen externe Festplatte 2,5"" 1 TB",chiliGreen,Grau,1024.0
chiliGreen 120 GB SSD-Festplatte,chiliGreen,,120.0
chiliGreen 250 GB SSD-Festplatte,chiliGreen,aluminium,250.0
Samsung Galaxy S5 LTE Schwarz,Samsung,Schwarz,16.0
Samsung Gear 2 Smartwatch Braun,Samsung,braun,4.0
ednet Mauspad,ednet,Schwarz,
ednet Mauspad,ednet,Blau,
ednet Mauspad,ednet,Grün,
ednet Gel Handballenauflage,ednet,Blau,
ednet Gel Mauspad,ednet,Schwarz,
ednet Drahtlose optische Maus,ednet,Silber,
WESTERN DIGITAL MY PASSPORT SLIM 2TB,WESTERN,,2048.0
"WD NAS 4TB SATA 3,5""",WD,Rot,4096.0
Toshiba STOR.E PLUS 1TB USB 3.0,Toshiba,,1024.0
"Verbatim Store 'n' Go 500GB, Externe 2,5"" USB 3.0",Verbatim,Grün,500.0
"Lenovo Ideapad G700 Notebook 43.9 cm (17.3"") Schwarz",Lenovo,Schwarz,
ednet Bluetooth® 3.0 Tastatur ,ednet,Weiß,
HNP06-USBV2-WHITE USB Netzteil slim weiß,HNP06-USBV2-WHITE,Weiß,
HNP06-USBV2-BLACK USB Netzteil slim schwarz,HNP06-USBV2-BLACK,Schwarz,
HNP06-USBV2-WHITE USB Netzteil slim + MicroUSB Kabel weiß,HNP06-USBV2-WHITE,Weiß,
HNP06-USBV2-BLACK USB Netzteil slim + MicroUSB Kabel schwarz,HNP06-USBV2-BLACK,Schwarz,
"Dell XPS 11 2-in-1-Ultrabook™ 29.46 cm (11.6"") Silber",Dell,Silber,
Logilink Mauspad mit Silikon Gel Handauflage,Logilink,Pink,
"Lenovo Flex15 Dual Mode Ultrabook (Convertible) 39.6 cm (15.6"") Schwarz (Silber Ring)",Lenovo,Schwarz,
CAT B15Q Dual-SIM-Outdoor Smartphone,CAT,Silber,4.0
Seagate Desktop Backup Plus 5TB USB 3.0,Seagate,,5120.0
Seagate Wireless Plus 500GB USB 3.0 und WLAN,Seagate,,500.0
Seagate Wireless Plus 2TB USB 3.0 und WLAN,Seagate,,2048.0
Wiko Highway 2 GHz Octa-Core Dual SIM Smartphone,Wiko,Orange,16.0
Wiko Highway 2 GHz Octa-Core Dual SIM Smartphone,Wiko,Lila,16.0
Wiko Highway 2 GHz Octa-Core Dual SIM Smartphone,Wiko,Blau,16.0
"HP 15-g005ng Notebook 39.6 cm (15.6"") Schwarz",HP,Schwarz,
"HP 15-g007ng Notebook 39.6 cm (15.6"") Schwarz",HP,Schwarz,
"HP 15-k010ng Notebook 39.6 cm (15.6"") Silber",HP,Silber,
"HP 17-f022ng Notebook 43.9 (17.3"") Silber",HP,Silber,
renkforce SM-305AG,renkforce,grau,
Samsung Galaxy III Neo,Samsung,,16.0
"HP Envy 15-u001ng X360 Design Touch Notebook 39.6 cm (15.6"") Silber",HP,Silber,
"Western Digital 5TB SATA 3,5"" WD50EFRX Red™ Serie",Western,Rot,5120.0
"Western Digital 6TB SATA 3,5"" WD40EFRX Red™ Serie",Western,Rot,6144.0
Transcend JetDrive 500 interne SSD 240GB SATA III für MacBook Air (Ende 2010 - Mitte 2011),Transcend,aluminium,240.0
Transcend JetDrive 500 interne SSD 480GB SATA III für MacBook Air (Ende 2010 - Mitte 2011),Transcend,aluminium,480.0
Transcend JetDrive 500 interne SSD 960GB SATA III für MacBook Air (Ende 2010 - Mitte 2011),Transcend,aluminium,960.0
Transcend JetDrive 520 interne SSD 240GB SATA III für MacBook Air (Mitte 2012),Transcend,aluminium,240.0
Transcend JetDrive 520 interne SSD 480GB SATA III für MacBook Air (Mitte 2012),Transcend,aluminium,480.0
Transcend JetDrive 520 interne SSD 960GB SATA III für MacBook Air (Mitte 2012),Transcend,aluminium,960.0
"Transcend JetDrive 720 interne SSD 240GB SATA III für MacBook Pro Retina 34 cm (13 Zoll) (Ende 2012, Anfang 2013)",Transcend,aluminium,240.0
"Transcend JetDrive 720 interne SSD 480GB SATA III für MacBook Pro Retina 34 cm (13 Zoll) (Ende 2012, Anfang 2013)",Transcend,aluminium,480.0
"Transcend JetDrive 720 interne SSD 960GB SATA III für MacBook Pro Retina 34 cm (13 Zoll) (Ende 2012, Anfang 2013)",Transcend,aluminium,960.0
Transcend JetDrive 420 interne SSD 120GB SATA III für div. MacBook-Modelle,Transcend,aluminium,120.0
Transcend JetDrive 420 interne SSD 240GB SATA III für div. MacBook-Modelle,Transcend,aluminium,240.0
Transcend JetDrive 420 interne SSD 480GB SATA III für div. MacBook-Modelle,Transcend,aluminium,480.0
Transcend JetDrive 420 interne SSD 960GB SATA III für div. MacBook-Modelle,Transcend,aluminium,960.0
"Transcend JetDrive 725 interne SSD 240GB SATA III für MacBook Pro Retina 39 cm (15 Zoll) (Mitte 2012, Anfang 2013)",Transcend,aluminium,240.0
"Transcend JetDrive 725 interne SSD 480GB SATA III für MacBook Pro Retina 39 cm (15 Zoll) (Mitte 2012, Anfang 2013)",Transcend,aluminium,480.0
"Transcend JetDrive 725 interne SSD 960GB SATA III für MacBook Pro Retina 39 cm (15 Zoll) (Mitte 2012, Anfang 2013)",Transcend,aluminium,960.0
Wiko Lenny,Wiko,Gelb,4.0
Wiko Lenny,Wiko,Schwarz,4.0
Wiko Lenny,Wiko,Türkis,4.0
Wiko Lenny,Wiko,Lila,4.0
Wiko Lenny,Wiko,Weiß,4.0
WD Elements 4TB USB 3.0,WD,,4096.0
WD My Book Duo 6TB USB 3.0,WD,Rot,6144.0
WD My Book Duo 8TB USB 3.0,WD,Rot,8192.0
Hitachi Ultrastar He6 6TB Bulk SATA-III HUS726060ALA640,Hitachi,,6144.0
Nokia Lumia 930,Nokia,aluminium,32.0
Nokia Lumia 930,Nokia,aluminium,32.0
Nokia Lumia 930,Nokia,aluminium,32.0
Nokia Lumia 930,Nokia,Weiß,32.0
WD My Passport Wireless 1TB USB 3.0,WD,Weiß,1024.0
Sony Xperia™ Z3 Compact,Sony,,16.0
WD Elements 5TB USB 3.0,WD,,5120.0
"HP Envy 17-k102ng Notebook 43.94 cm (17.3"") Silber - Design-Highlight mit starker Nvidia GTX-Grafik und großer Festplatte",HP,Silber,
"HP Pavilion x360 Convertible PC, Notebook 13-a051ng 33.8 cm (13.3"") Silber",HP,Silber,
"Acer Aspire E5-551G-F11E Notebook 39.6 cm (15.6"") Schwarz - Neuester AMD FX-Prozessor, mattes FullHD und AMD R7 Graikkarte",Acer,Schwarz,
"Asus F555LD-XX369H Notebook 39.6 cm (15.6"") Blau",Asus,Blau,
"Asus F555LD-XX370H Notebook 39.6 cm (15.6"") Rot",Asus,Rot,
"Asus F555LD-XX372H Notebook 39.6 cm (15.6"") Gelb",Asus,Gelb,
Cherry MX-Board 3.0 USB Tastatur,Cherry,Schwarz,
Cherry MX-Board 3.0 USB Tastatur,Cherry,Schwarz,
Cherry MX-Board 3.0 USB Tastatur,Cherry,Schwarz,
Cherry MX-Board 3.0 USB Tastatur,Cherry,Schwarz,
"Asus F751LK-T4010H Notebook 43.94 cm (17.3"") Silber, Grau - Spitzen-Grafikleistung und mattes FullHD Display",Asus,Grau,
"WD NAS 5TB SATA 3,5""",WD,Rot,5120.0
"WD NAS 6TB SATA 3,5""",WD,Rot,6144.0
Bluetooth®-Maus Acer Windows 8 Kabellos Weiß,Bluetooth®-Maus,Weiß,
Bluetooth®-Maus Acer Windows 8 Kabellos Schwarz,Bluetooth®-Maus,Schwarz,
"WIKO Highway Signs, Dual-SIM",WIKO,Koralle,8.0
Cherry Gentix Corded Optical Mouse,Cherry,Weiß,
Tastatur W95 PS2/USB ,Tastatur,Schwarz,
Cherry Tastatur Slim-Line USB/PS2,Cherry,grau,
Hyper X Skyn Mauspad - Geschwindigkeit,Hyper,Schwarz,
USB Tastatur MX-Board 3.0 inkl. Handballenauflage ,USB,Schwarz,
USB Tastatur MX-Board 3.0 inkl. Handballenauflage ,USB,Schwarz,
USB Tastatur MX-Board 3.0 inkl. Handballenauflage ,USB,Braun,
USB Tastatur MX-Board 3.0 inkl. Handballenauflage ,USB,Blau,
Cellularline Lightning Reise-Ladegerät für das iPad Air/2 und iPad mini (2/3) Weiß,Cellularline,Weiß,
Funk-Maus Perixx Permice-714,Funk-Maus,Schwarz,
Yotaphone 2,Yotaphone,Schwarz,32.0
"HP ProBook 430 G2 Notebook 33.8 cm (13.3"") Schwarz",HP,Schwarz,
"HP ProBook 430 G2 Notebook 33.8 cm (13.3"") Schwarz",HP,Schwarz,
"HP ProBook 450 G2 Notebook 39.6 cm (15.6"") Schwarz",HP,Schwarz,
"HP ProBook 455 G2 Notebook 39.6 cm (15.6"") Schwarz",HP,Schwarz,
Samsung SSD 850 EVO 250GB,Samsung,,250.0
Samsung SSD 850 EVO 500GB,Samsung,,500.0
Samsung SSD 850 EVO 1TB,Samsung,,1024.0
Microsoft Wireless Mobile Mouse 1850,Microsoft,blau,
Wirelss Mobile Mouse 1850,Wirelss,rot,
Microsoft Wireless Mobile Mouse 1850,Microsoft,schwarz,
HONOR 6 ( H60-L04 ) LTE OctaCore Smartphone,HONOR,,16.0
"Acer Aspire V3-371-374R Notebook 33.8 cm (13.3"") Schwarz - mattes FullHD Display, 240GB SSD und neuester Wireless AC Standard",Acer,Schwarz,240.0
Samsung Galaxy A3 LTE-Smartphone,Samsung,Schwarz,16.0
Samsung Galaxy A5,Samsung,Weiß,16.0
Hama Tastatur Rossano,Hama,Silber/Weiß,
Kabellose Funk Maus - schwarz,Kabellose,Schwarz,
"Lenovo G50-70 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"12V Ladegerät auf Micro USB - BAND Car Charger - 2.1A - 0,6 M - Rot",12V,Rot,
"12V Ladegerät auf Micro USB - BAND Car Charger - 2.1A - 0,6 M - Schwarz",12V,Schwarz,
"12V Ladegerät auf Micro USB - BAND Car Charger - 2.1A - 0,6 M - Blau",12V,Blau,
"12V Ladegerät auf Apple Lightning - BAND Car Charger - 2.1A - 0,6 M - Grün",12V,Grün,
"12V Ladegerät auf Apple Lightning - BAND Car Charger - 2.1A - 0,6 M - Schwarz",12V,Schwarz,
12V Ladegerät auf 2x USB - Y-Charge - 4.2A - Schwarz,12V,Schwarz,
12V Ladegerät auf 2x USB - Y-Charge - 4.2A - Blau,12V,Blau,
12V Ladegerät auf 2x USB - Y-Charge - 4.2A - Grün,12V,Grün,
12V Ladegerät auf 2x USB - Y-Charge - 4.2A - Rot,12V,Red,
12V Ladegerät auf 2x USB + Apple Lightning Kabel - Y - Charge + Syncable - 2.1A - Schwarz,12V,Schwarz,
12V Ladegerät auf 2x USB + Apple Lightning Kabel - Y - Charge + Syncable - 2.1A - Grün,12V,Grün,
12V Ladegerät auf 2x USB + Micro USB Kabel - Y - Charge + Syncable - 2.1A - Schwarz,12V,Schwarz,
12V Ladegerät auf 2x USB + Micro USB Kabel - Y - Charge + Syncable - 2.1A - Grün,12V,Grün,
12V Ladegerät auf 2x USB + Micro USB Kabel - Y - Charge + Syncable - 2.1A - Blau,12V,Blau,
12V Ladegerät auf 2x USB + Micro USB Kabel - Y - Charge + Syncable - 2.1A - Rot,12V,Red,
"Ladung Universal - VÜ-Car Wireless Charger - QI Compatible - Geräte bis 5.7""  - Grau",Ladung,Grau,
"Ladung Universal - VÜ-Car Wireless Charger - QI Compatible - Geräte bis 5.7""  - Blau",Ladung,Blau,
"Ladung Universal - VÜ-Car Wireless Charger - QI Compatible - Geräte bis 5.7""  - Rot",Ladung,Red,
Ladung Universal - VÜ Wireless Charger - QI Compatible - Schwarz,Ladung,Schwarz,
Ladung Universal - VÜ Wireless Charger - QI Compatible - Blau,Ladung,Blau,
Ladung Universal - VÜ Wireless Charger - QI Compatible  - Rot,Ladung,Red,
"Lenovo Z50-75 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"Lenovo G50-70 Notebook 39.6 cm (15.6"") Schwarz - leistungsstarker Core i7 Prozessor und Windows 8.1",Lenovo,Schwarz,
"Lenovo Y50-70 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,1024.0
"Lenovo G70-70 Notebook 43.9 cm (17.3"") Schwarz",Lenovo,Schwarz,2.0
"Lenovo Flex 2-15 Notebook 39.6 cm (15.6"") Schwarz - 300 Grad drehbares Display für Einsatz als Notebook und Tablet",Lenovo,Schwarz,
"Acer Aspire ES1-311 Notebook 33,8 cm (13,3"") Schwarz",Acer,Schwarz,
"Acer Aspire ES1 Notebook 39,6 cm (15,6"") Schwarz",Acer,Schwarz,
"Acer Aspire ES1-711 Notebook 43,9 cm (17,3"") Schwarz",Acer,Schwarz,
"Acer Aspire ES1-512-P2GK Notebook 39,6 cm (15,6"") Schwarz",Acer,Schwarz,
Faltbare Bluetooth-Tastatur PERIBOARD-805L II,Faltbare,Schwarz,
HP Pavilion 13-a150ng x360 Notebook 33.8 cm (13.3'') Silber,HP,Silber,500.0
"HP Pavillion 13-a200ng x360 Notebook 33.8 cm (13.3"") Silber",HP,Silber,500.0
"HP Stream 11-d002ng Notebook 29.5 cm (11.6"") Pink",HP,Pink,1024.0
"HP Stream 13-C002NG Notebook 33.8 cm (13.3"") Pink",HP,Pink,1024.0
"HP Stream 13-C002NG Notebook 33.8 cm (13.3"") Blau",HP,Blau,1024.0
Genius Funk Maus NX-6500 ,Genius,Grau,
Genius Funk Maus NX-6500 ,Genius,Rot,
Genius Funk Maus NX-6550,Genius,Grau,
Genius Funk Maus NX-6550 ,Genius,Blau,
Genius Funk Maus DX-6810,Genius,Silber,
Genius Funk Maus DX-6810,Genius,Rot,
Genius Funk Maus DX 700X ,Genius,Schwarz,
"Externe Festplatte 8.9 cm (3.5 "") 3TB Transcend StoreJet 35T3 Schwarz USB 3.0",Externe,Schwarz,3072.0
"Lenovo G50-70 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"Lenovo G50-70 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"Lenovo G50-80 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"Lenovo Flex 2-15 Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"Lenovo Flex 2 pro 15 BDW Notebook 39.6 cm (15.6"") Schwarz",Lenovo,Schwarz,
"Lenovo G70-70 Notebook 43.9 cm (17.3"") Schwarz",Lenovo,Schwarz,
"Lenovo S21e-20 Notebook / Netbook 29.5 cm (11.6"") Silber",Lenovo,Silber,
Motorola Moto E 2. Generation LTE,Motorola,,8.0
Motorola Moto E 2. Generation LTE,Motorola,,8.0
Cherry USB Tastatur KC 1000 SC,Cherry,schwarz,
WIKO Ridge 4G LTE-Dual-SIM Smartphone,WIKO,,16.0
Sony Xperia M4 Aqua LTE-Smartphone,Sony,,8.0
"Asus Zenbook UX303LA-RO262H 33.7 cm (13.3"") Braun",Asus,Braun,256.0
Asus Zenbook F555LJ-XX060H Notebook 39.6 cm (15.6'') Schwarz,Asus,Schwarz,
Asus F555LB-XO115H Notebook 39.6 cm (15.6'') Schwarz,Asus,Schwarz,
Asus F555LB-XO122H Notebook 38.9cm (15.6'') Schwarz,Asus,Schwarz,
"Asus F751MA-TY235H Notebook 43,94cm (17.3'') Schwarz",Asus,Schwarz,32.0
Asus F751LJ-TY016H Notebook 43.94cm (17.3'') Schwarz,Asus,Schwarz,32.0
Microsoft Lumia 640,Microsoft,orange,8.0
Microsoft Lumia 640,Microsoft,,8.0
Microsoft Lumia 640,Microsoft,schwarz,8.0
Microsoft Lumia 640,Microsoft,weiß,8.0
Microsoft Lumia 640,Microsoft,orange,8.0
Microsoft Lumia 640,Microsoft,,8.0
Microsoft Lumia 640 XL,Microsoft,,8.0
Microsoft Lumia 640 XL,Microsoft,,8.0
Microsoft Lumia 640 XL,Microsoft,,8.0
Microsoft Lumia 640,Microsoft,,8.0
"Honor 6+  LTE, Dual-SIM",Honor,Schwarz,32.0
"Honor 6+  LTE, Dual-SIM",Honor,Weiß,32.0
"Honor 4X LTE, Dual-SIM",Honor,Weiß,8.0
Huawei Y625 Dual-SIM Smartphone,Huawei,Weiß,4.0
Phicomm Passion,Phicomm,,32.0
Gembird Gaming Maus MUSG-001-B,Gembird,Blau,
Samsung Galaxy Xcover 3,Samsung,,8.0
HUAWEI P8 Titanium Grey,HUAWEI,grey,16.0
HUAWEI P8 Mystic Champagne,HUAWEI,,16.0
HUAWEI P8 Lite LTE-Dual-SIM Smartphone,HUAWEI,Schwarz,16.0
HUAWEI P8 Lite LTE-Dual-SIM Smartphone,HUAWEI,Weiß,16.0
"USB-Ladegerät ""Picco"", 12 V, 1 A, Schwarz",USB-Ladegerät,Schwarz,
"USB-Dual-Ladegerät ""Auto-Detect"" 5 V/2,1 A, Schwarz",USB-Dual-Ladegerät,Schwarz,
V7 Mobile Kabellose Optische Maus - Schwarz,V7,schwarz,
V7 Mauspad in Schwarz,V7,Schwarz,
V7 Mauspad in Blau,V7,Blau,
V7 Mauspad in Rot,V7,Rot,
Orbit™ Optischer Trackball,Orbit™,Silber,
Orbit™ Kabelloser Trackball,Orbit™,Schwarz,
Kensington Optische PC Maus Pro Fit&trade,Kensington,schwarz,
Pro Fit™ Kabelgebundene Full-Size-Maus,Pro,schwarz,
SlimBlade™ Kabellose Lasermaus,SlimBlade™,Schwarz,
WD My Passport® X Gaming-Speicher 2TB USB 3.0,WD,,2048.0
Intenso Memory Center 5TB USB 3.0,Intenso,Schwarz,5120.0
Kfz-USB-Lader MIXIT,Kfz-USB-Lader,Schwarz,
Kfz-USB-Lader MIXIT,Kfz-USB-Lader,Grau,
Cyrus CS 25 Outdoor-Smartphone,Cyrus,,8.0
Motorola Moto G (3. Generation ) LTE-Smartphone,Motorola,Schwarz,8.0
"Lenovo Idea Pad Yoga 3 Pro Ultrabook/Tablet 33.78 cm (13.3"") Silber-Grau",Lenovo,Silber-Grau,
WD My Passport® für Mac 1TB USB 3.0 Schwarz/Silber,WD,Schwarz,1024.0
"Dell Latitude E5540 Notebook mit Intel Core i3 39.6 cm (15.6"") Schwarz",Dell,Schwarz,
"Dell Latitude E5540 Notebook mit Intel Core i5 39.6 cm (15.6"") Schwarz - Professionelles Notebook mit Hybrid-Festplatte und Windows 7 Professional",Dell,Schwarz,8.0
Vivanco USB Maus IT-MS USB W,Vivanco,Weiß,
Samsung Galaxy S4 Mini GT-i9195i LTE-Smartphone,Samsung,,8.0
"MEDION® LIFE®E4005 (MD 99253) Smartphone 10.16 cm (4"")",MEDION®,,8.0
Medion Life E5001 Dual-SIM Smartphone,Medion,,8.0
PERIBOARD-509 PLUS USB Tastatur,PERIBOARD-509,Schwarz,
Samsung SSD 850 EVO 2TB,Samsung,,2048.0
Samsung Galaxy J5 LTE-Smartphone,Samsung,,8.0
Samsung Galaxy J5 LTE-Smartphone,Samsung,Gold,8.0
Samsung Galaxy J5 LTE-Smartphone,Samsung,,8.0
CAT S40 Dual-SIM-LTE-Outdoor Smartphone,CAT,,16.0
Motorola Moto X Play LTE-Smartphone,Motorola,,16.0
"Medion S6413T 4in1 Touch Notebook 39.6 cm (15.6"") Grau",Medion,Grau,500.0
Samsung Galaxy S5 Neo LTE-Smartphone,Samsung,Silber,16.0
"Externe Festplatte 8.9 cm (3.5 "") 8TB Transcend StoreJet 35T3 Schwarz USB 3.0",Externe,Schwarz,8192.0
Wiko Lenny 2 Dual-SIM Smartphone,Wiko,Schwarz,8.0
Wiko Sunset 2 Dual-SIM Smartphone,Wiko,Schwarz,4.0
Wiko Rainbow Jam Dual-SIM Smartphone,Wiko,Schwarz,8.0
CAT B15Q Dual-SIM-Outdoor Smartphone,CAT,Silber,4.0
"Multi-Ladestation, weiß","Multi-Ladestation,",Weiß,
"Multi-Ladestation, schwarz","Multi-Ladestation,",Schwarz,
Multi-Ladestation XL,Multi-Ladestation,Weiß,
Multi-Ladestation XL,Multi-Ladestation,Schwarz,
Huawei Mate S LTE-Smartphone,Huawei,,32.0
Phicomm Energy M+ LTE-Dual-SIM Smartphone,Phicomm,Schwarz,8.0
Phicomm Clue M LTE und DualSim Smartphone,Phicomm,,8.0
Phicomm Clue L,Phicomm,grey,8.0
Huawei Y6 LTE-Dual-SIM Smartphone,Huawei,Schwarz,8.0
Huawei Y6 LTE-Dual-SIM Smartphone,Huawei,Weiß,8.0
"WD Black 5TB 3.5"" SATA-III Bulk WD5001FZWX",WD,Schwarz,5120.0
"WD Black 6TB 3.5"" SATA-III Bulk WD6001FZWX",WD,Schwarz,6144.0
"WD Blue 500GB 3.5"" SATA-III Bulk WD5000AZRZ",WD,Blau,500.0
"WD Blue 1TB 3.5"" SATA-III Bulk WD10EZRZ",WD,Blau,1024.0
"WD Blue 2 TB 3.5"" SATA-III Bulk WD20EZRZ",WD,Blau,2048.0
"WD Blue 3TB 3.5"" SATA-III Bulk WD30EZRZ",WD,Blau,3072.0
"WD Blue 4TB 3.5"" SATA-III Bulk WD40EZRZ",WD,Blau,4096.0
"WD Blue 5TB 3.5"" SATA-III Bulk WD50EZRZ",WD,Blau,5120.0
